,Word,Count
0,THE,108
1,AND,71
2,TO,36
3,WHO,21
4,OF,17
5,WHICH,17
6,IN,17
7,HE,15
8,HIS,15
9,FROM,15
10,THAT,13
11,WITH,13
12,HAD,12
13,HIM,12
14,ON,12
15,A,10
16,DEMON,10
17,NOT,10
18,OLD,9
19,WOULD,9
20,JONES,9
21,AT,8
22,EVEN,8
23,FOR,8
24,WAS,8
25,THEY,8
26,BEFORE,7
27,NOW,7
28,AS,6
29,HER,6
30,TWO,6
31,TIME,6
32,AFTER,5
33,MAN,5
34,HAVE,5
35,BUT,5
36,OWN,5
37,DOOR,5
38,WHEN,5
39,ABOUT,4
40,IT,4
41,THERE,4
42,MUST,4
43,SEEN,4
44,ONE,4
45,FURIOUS,4
46,STILL,4
47,SON,4
48,WHILE,4
49,GRANDDAUGHTER,4
50,AWAY,4
51,YEARS,4
52,(AND,4
53,HOUSE,4
54,NO,4
55,OR,4
56,THEM,4
57,LIKE,3
58,I,3
59,OUT,3
60,DID,3
61,CAME,3
62,BACK,3
63,SHE,3
64,MORE,3
65,ITS,3
66,THAN,3
67,SINCE,3
68,BY,3
69,AUNT,3
70,DURING,3
71,CUT,3
72,FRONT,3
73,COULD,3
74,BEADS,3
75,DOWN,3
76,FIRST,3
77,BED,3
78,US,3
79,JUST,2
80,FATHER,2
81,IF,2
82,IMPOTENT,2
83,LAST,2
84,BE,2
85,"GIRL,",2
86,REALIZES,2
87,HIMSELF,2
88,CAN,2
89,UPON,2
90,SAW,2
91,DEAD,2
92,NAME,2
93,WHATEVER,2
94,SUTPEN,2
95,CARRY,2
96,AMONG,2
97,PEOPLE,2
98,DAUGHTER,2
99,SPINSTERHOOD,2
100,ALREADY,2
101,CALM,2
102,FACE,2
103,DRESS,2
104,WORE,2
105,NEXT,2
106,YEAR,2
107,LIVED,2
108,THREE,2
109,THEIR,2
110,WHAT,2
111,ABANDONED,2
112,FISHING,2
113,CAMP,2
114,AGAINST,2
115,WEEDS,2
116,THOUGH,2
117,O,2
118,F,2
119,STEPS,2
120,"THEM,",2
121,DAUGHTERS,2
122,WHITE,2
123,MILES,2
124,HAND,2
125,COUNTRY,2
126,STORE,2
127,GALLOPED,2
128,ANY,2
129,RIBBONS,2
130,CANDY,2
131,THIS,2
132,DEMON’S,2
133,SHOWCASE,2
134,JUDITH,2
135,BEEN,2
136,PERHAPS,2
137,FOUR,2
138,KITCHEN,2
139,ONLY,2
140,AFTERNOONS,2
141,FETCH,2
142,SITTING,2
143,BENEATH,2
144,LYING,2
145,SPRING,2
146,THEN,2
147,TURN,2
148,INTO,2
149,SHOOT,2
150,UP,2
151,PANE,2
152,LIE,2
153,"SAY,",2
154,AINT,2
155,WHUPPED,2
156,"YIT,",2
157,AIR,2
158,THEY?’,2
159,EXACTLY,1
160,KNOWN,1
161,MUCH,1
162,NIGHT,1
163,WENT,1
164,DAY,1
165,THINKING,1
166,MAD,1
167,REALIZED,1
168,SOME,1
169,LIMIT,1
170,CAPABILITIES,1
171,DOING,1
172,"HARM,",1
173,SITUATION,1
174,SHOW,1
175,"PONY,",1
176,PRINCIPAL,1
177,TUNE,1
